series	season	episode	title	stardate	air date
DS9	3	3	The House of Quark	48224.2	1994-10-10
DS9	3	4	Equilibrium	48231.7	1994-10-17
DS9	3	5	Second Skin	48244.5	1994-10-24
DS9	3	6	The Abandoned	48301.1	1994-10-31
DS9	3	7	Civil Defense	48388.8	1994-11-07
DS9	3	8	Meridian	48423.2	1994-11-14
DS9	3	9	Defiant	48467.3	1994-11-21
DS9	3	10	Fascination	48441.6	1994-11-28
DS9	3	11	Past Tense, Part I	48481.2	1995-01-02
DS9	3	12	Past Tense, Part II	48481.2	1995-01-09
VOY	1	1	Caretaker	48315.6	1995-01-16
VOY	1	2	Caretaker	48315.6	1995-01-16
VOY	1	3	Parallax	48439.7	1995-01-23
VOY	1	4	Time and Again	Unknown	1995-01-30
DS9	3	13	Life Support	48498.4	1995-01-31
DS9	3	14	Heart of Stone	48521.5	1995-02-06
VOY	1	5	Phage	48532.4	1995-02-06
VOY	1	6	The Cloud	48546.2	1995-02-13
DS9	3	15	Destiny	48543.2	1995-02-13
DS9	3	16	Prophet Motive	48555.5	1995-02-20
VOY	1	7	Eye of the Needle	48579.4	1995-02-20
DS9	3	17	Visionary	48576.7	1995-02-27
VOY	1	8	Ex Post Facto	Unknown	1995-02-27
VOY	1	9	Emanations	48623.5	1995-03-13
VOY	1	10	Prime Factors	48642.5	1995-03-20
VOY	1	11	State of Flux	48658.2	1995-04-10
DS9	3	18	Distant Voices	48592.2	1995-04-10
DS9	3	19	Through the Looking Glass	48601.1	1995-04-17
DS9	3	20	Improbable Cause (Part 1)	48620.3	1995-04-24
VOY	1	12	Heroes and Demons	48693.2	1995-04-24
VOY	1	13	Cathexis	48734.2	1995-05-01
DS9	3	21	The Die is Cast (Part 2)	48622.5	1995-05-01
VOY	1	14	Faces	48784.2	1995-05-08
DS9	3	22	Explorers	48699.9	1995-05-08
VOY	1	15	Jetrel	48832.1	1995-05-15
DS9	3	23	Family Business	48731.2	1995-05-15
VOY	1	16	Learning Curve	48846.5	1995-05-22
DS9	3	24	Shakaar	48764.8	1995-05-22
DS9	3	25	Facets	48959.1	1995-06-12
DS9	3	26	The Adversary	48962.5	1995-06-19
